enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Chanteuse ivoirienne populaire.,FACILE,100,25,Musique,Musique,Culture,Nature,Histoire,img/josey.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Aïcha Koné,Diva de la musique ivoirienne.,MOYEN,150,25,Musique,Vetcho Lolas,Bebi Philip,Aïcha Koné,Espoir 2000,img/aicha-kone.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Diva de la musique ivoirienne.,FACILE,100,25,Musique,Culture,Musique,Nature,Histoire,img/aicha-kone.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Monique Séka,Créatrice de l'afro-zouk.,MOYEN,150,25,Musique,Henriette Diabaté,Cheick Cissé,Monique Séka,Espoir 2000,img/monique-seka.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Créatrice de l'afro-zouk.,FACILE,100,25,Musique,Musique,Culture,Histoire,Nature,img/monique-seka.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Yodé & Siro,Duo zouglou emblématique.,MOYEN,150,25,Musique,Simone Gbagbo,Suspect 95,Josey,Yodé & Siro,img/yode-siro.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Duo zouglou emblématique.,FACILE,100,25,Musique,Musique,Histoire,Sport,Nature,img/yode-siro.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Espoir 2000,Groupe zouglou.,MOYEN,150,25,Musique,Meiway,Henriette Diabaté,Alassane Ouattara,Espoir 2000,img/espoir-2000.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Groupe zouglou.,FACILE,100,25,Musique,Nature,Musique,Culture,Actualité,img/espoir-2000.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Kerozen,"Chanteur ivoirien, « La vie est belle ».",MOYEN,150,25,Musique,Félix Houphouët-Boigny,Kerozen,Kolo Touré,DJ Arafat,img/kerozen.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,"Chanteur ivoirien, « La vie est belle ».",FACILE,100,25,Musique,Actualité,Musique,Sport,Histoire,img/kerozen.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Suspect 95,Rappeur ivoirien.,MOYEN,150,25,Musique,Suspect 95,Didi B,Ahmadou Kourouma,Henriette Diabaté,img/suspect-95.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Rappeur ivoirien.,FACILE,100,25,Musique,Histoire,Musique,Culture,Sport,img/suspect-95.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Didi B,"Rappeur, ex-Kiff No Beat.",MOYEN,150,25,Musique,Gervinho,Tidjane Thiam,Didi B,Salomon Kalou,img/didi-b.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,"Rappeur, ex-Kiff No Beat.",FACILE,100,25,Musique,Histoire,Actualité,Culture,Musique,img/didi-b.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Safarel Obiang,Artiste coupé-décalé.,DIFFICILE,200,25,Musique,Safarel Obiang,Magic System,Henri Konan Bédié,Gervinho,img/safarel-obiang.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Artiste coupé-décalé.,FACILE,100,25,Musique,Actualité,Sport,Musique,Culture,img/safarel-obiang.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Vetcho Lolas,Chanteur ivoirien.,DIFFICILE,200,25,Musique,Wilfried Zaha,Didi B,Serey Dié,Vetcho Lolas,img/vetcho-lolas.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Chanteur ivoirien.,FACILE,100,25,Musique,Musique,Actualité,Culture,Histoire,img/vetcho-lolas.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Roseline Layo,Chanteuse révélée récemment.,MOYEN,150,25,Musique,Roseline Layo,Franck Kessié,Didier Drogba,Gabriel Tiacoh,img/roseline-layo.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Chanteuse révélée récemment.,FACILE,100,25,Musique,Musique,Culture,Sport,Histoire,img/roseline-layo.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Ariel Sheney,Disciple de DJ Arafat.,DIFFICILE,200,25,Musique,Laurent Gbagbo,Ariel Sheney,Emerse Faé,Gervinho,img/ariel-sheney.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Disciple de DJ Arafat.,FACILE,100,25,Musique,Nature,Musique,Actualité,Culture,img/ariel-sheney.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,L'attiéké,"Semoule de manioc fermenté, plat national.",FACILE,100,25,Gastronomie,Le poisson braisé,L'attiéké,La sauce graine,Le bangui,img/l-attieke.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le foutou,Pâte de banane plantain ou d'igname pilée.,FACILE,100,25,Gastronomie,Le foutou,L'aloko poisson,La sauce gombo,Le bangui,img/le-foutou.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,L'alloco,Bananes plantain frites.,FACILE,100,25,Gastronomie,Le placali,Le kedjenou,L'aloko poisson,L'alloco,img/l-alloco.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le kedjenou,Poulet ou pintade mijoté à l'étouffée.,MOYEN,150,25,Gastronomie,Le bissap,Le kedjenou,L'alloco,Le bangui,img/le-kedjenou.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le garba,"Attiéké au thon frit, plat de rue populaire.",FACILE,100,25,Gastronomie,Le claqudou / dêguê,Le bangui,Le garba,La sauce graine,img/le-garba.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,La sauce graine,Sauce à base de noix de palme.,MOYEN,150,25,Gastronomie,Le gnamakoudji,Le garba,L'igname braisée,La sauce graine,img/la-sauce-graine.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le placali,Pâte de manioc fermenté.,MOYEN,150,25,Gastronomie,Le placali,La sauce gombo,Le kedjenou,Le gnamakoudji,img/le-placali.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,La sauce gombo,Sauce gluante au gombo.,MOYEN,150,25,Gastronomie,L'aloko poisson,Le garba,Le placali,La sauce gombo,img/la-sauce-gombo.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le bangui,Vin de palme traditionnel.,DIFFICILE,200,25,Gastronomie,Le placali,Le bangui,L'igname braisée,Le poisson braisé,img/le-bangui.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,L'aloko poisson,Alloco accompagné de poisson braisé.,MOYEN,150,25,Gastronomie,Le kedjenou,L'aloko poisson,Le bissap,Le tchep / riz gras,img/l-aloko-poisson.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le poisson braisé,"Poisson grillé épicé, classique du maquis.",FACILE,100,25,Gastronomie,Le claqudou / dêguê,Le placali,L'aloko poisson,Le poisson braisé,img/le-poisson-braise.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le tchep / riz gras,Riz au poisson d'origine sénégalaise (thiéboudienne).,MOYEN,150,25,Gastronomie,Le garba,Le tchep / riz gras,Le poisson braisé,L'attiéké,img/le-tchep-riz-gras.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,L'igname braisée,Tubercule grillé.,MOYEN,150,25,Gastronomie,Le placali,L'igname braisée,Le bangui,Le kedjenou,img/l-igname-braisee.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le gnamakoudji,Jus de gingembre épicé.,DIFFICILE,200,25,Gastronomie,Le foutou,Le gnamakoudji,Le kedjenou,Le bangui,img/le-gnamakoudji.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le bissap,Boisson à base de fleurs d'hibiscus.,FACILE,100,25,Gastronomie,Le bissap,L'aloko poisson,L'igname braisée,Le gnamakoudji,img/le-bissap.jpg,,,,,
Quel est ce plat / cette spécialité ?,IMAGE,Le claqudou / dêguê,Dessert à base de mil et de lait.,DIFFICILE,200,25,Gastronomie,La sauce gombo,Le kedjenou,Le garba,Le claqudou / dêguê,img/le-claqudou-degue.jpg,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Côte d'Ivoire,Drapeau du/de la Côte d'Ivoire.,FACILE,100,25,Géographie,Tunisie,Algérie,Côte d'Ivoire,Maroc,img/drapeau-cote-d-ivoire.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Yamoussoukro,Yamoussoukro est la capitale du/de la Côte d'Ivoire.,MOYEN,150,25,Géographie,Libreville,Yamoussoukro,Praia,Freetown,img/drapeau-cote-d-ivoire.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Sénégal,Drapeau du/de la Sénégal.,FACILE,100,25,Géographie,Zambie,Sénégal,Congo,Guinée-Bissau,img/drapeau-senegal.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Dakar,Dakar est la capitale du/de la Sénégal.,MOYEN,150,25,Géographie,Alger,Yaoundé,Dakar,Monrovia,img/drapeau-senegal.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Mali,Drapeau du/de la Mali.,FACILE,100,25,Géographie,Tanzanie,Mozambique,Mali,Nigeria,img/drapeau-mali.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Bamako,Bamako est la capitale du/de la Mali.,MOYEN,150,25,Géographie,Praia,Maputo,Bamako,Abuja,img/drapeau-mali.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Ghana,Drapeau du/de la Ghana.,FACILE,100,25,Géographie,Rwanda,Liberia,Maroc,Ghana,img/drapeau-ghana.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Accra,Accra est la capitale du/de la Ghana.,MOYEN,150,25,Géographie,Nouakchott,Luanda,Harare,Accra,img/drapeau-ghana.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Nigeria,Drapeau du/de la Nigeria.,MOYEN,150,25,Géographie,Burkina Faso,Mauritanie,Rwanda,Nigeria,img/drapeau-nigeria.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Abuja,Abuja est la capitale du/de la Nigeria.,DIFFICILE,200,25,Géographie,Bissau,Luanda,Freetown,Abuja,img/drapeau-nigeria.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Burkina Faso,Drapeau du/de la Burkina Faso.,MOYEN,150,25,Géographie,Égypte,Maroc,Zimbabwe,Burkina Faso,img/drapeau-burkina-faso.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Ouagadougou,Ouagadougou est la capitale du/de la Burkina Faso.,DIFFICILE,200,25,Géographie,Monrovia,Yamoussoukro,Maputo,Ouagadougou,img/drapeau-burkina-faso.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Guinée,Drapeau du/de la Guinée.,MOYEN,150,25,Géographie,Guinée,Mauritanie,Togo,Gambie,img/drapeau-guinee.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Conakry,Conakry est la capitale du/de la Guinée.,DIFFICILE,200,25,Géographie,Brazzaville,Rabat,Nairobi,Conakry,img/drapeau-guinee.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Bénin,Drapeau du/de la Bénin.,MOYEN,150,25,Géographie,Zambie,Sénégal,Cameroun,Bénin,img/drapeau-benin.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Porto-Novo,Porto-Novo est la capitale du/de la Bénin.,DIFFICILE,200,25,Géographie,Tunis,Porto-Novo,Praia,Dakar,img/drapeau-benin.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Togo,Drapeau du/de la Togo.,MOYEN,150,25,Géographie,Tunisie,Togo,Rwanda,RD Congo,img/drapeau-togo.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Lomé,Lomé est la capitale du/de la Togo.,DIFFICILE,200,25,Géographie,Lomé,Kampala,Lusaka,Nouakchott,img/drapeau-togo.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Niger,Drapeau du/de la Niger.,MOYEN,150,25,Géographie,Ouganda,Mozambique,Mauritanie,Niger,img/drapeau-niger.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Niamey,Niamey est la capitale du/de la Niger.,DIFFICILE,200,25,Géographie,Accra,Pretoria,Rabat,Niamey,img/drapeau-niger.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Liberia,Drapeau du/de la Liberia.,MOYEN,150,25,Géographie,Liberia,Tanzanie,Tunisie,Afrique du Sud,img/drapeau-liberia.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Monrovia,Monrovia est la capitale du/de la Liberia.,DIFFICILE,200,25,Géographie,Pretoria,Brazzaville,Praia,Monrovia,img/drapeau-liberia.png,,,,,
Que représente cette image ?,IMAGE,Le pagne wax,"Tissu imprimé emblématique, très porté en Afrique de l'Ouest.",FACILE,100,25,Culture,L'anacarde (noix de cajou),Le pagne wax,Le billet de 10 000 FCFA,Le masque Gouro,img/le-pagne-wax.jpg,,,,,
Que représente cette image ?,IMAGE,Le billet de 10 000 FCFA,Coupure de la monnaie ouest-africaine.,MOYEN,150,25,Actualité,Le billet de 10 000 FCFA,Le woro-woro,Le masque Baoulé,Le masque Dan,img/le-billet-de-10-000-fcfa.jpg,,,,,
Que représente cette image ?,IMAGE,Le masque Baoulé,Masque facial du peuple Baoulé.,MOYEN,150,25,Culture,Le gbaka,Le café,Le masque Baoulé,Le ballon d'Or de Drogba,img/le-masque-baoule.jpg,,,,,
Que représente cette image ?,IMAGE,Le masque Gouro,Masque rituel du peuple Gouro (Zaouli).,DIFFICILE,200,25,Culture,Le café,La noix de cola,Le billet de 10 000 FCFA,Le masque Gouro,img/le-masque-gouro.jpg,,,,,
Que représente cette image ?,IMAGE,Le masque Dan,Masque du peuple Dan de l'ouest ivoirien.,DIFFICILE,200,25,Culture,La cabosse de cacao,Le woro-woro,Le masque Dan,Le café,img/le-masque-dan.jpg,,,,,
Que représente cette image ?,IMAGE,La cabosse de cacao,La Côte d'Ivoire est le 1er producteur mondial de cacao.,FACILE,100,25,Nature,Le gbaka,Le billet de 10 000 FCFA,La cabosse de cacao,Le masque Dan,img/la-cabosse-de-cacao.jpg,,,,,
Que représente cette image ?,IMAGE,La noix de cola,Fruit symbolique de l'hospitalité.,MOYEN,150,25,Culture,Le billet de 10 000 FCFA,Le gbaka,La noix de cola,Le pagne wax,img/la-noix-de-cola.jpg,,,,,
Que représente cette image ?,IMAGE,Le café,Culture d'exportation majeure.,FACILE,100,25,Nature,Le ballon d'Or de Drogba,Le woro-woro,Le pagne wax,Le café,img/le-cafe.jpg,,,,,
Que représente cette image ?,IMAGE,L'anacarde (noix de cajou),La Côte d'Ivoire est un grand producteur d'anacarde.,MOYEN,150,25,Nature,Le café,La noix de cola,L'anacarde (noix de cajou),Le billet de 10 000 FCFA,img/l-anacarde-noix-de-cajou.jpg,,,,,
Que représente cette image ?,IMAGE,Le ballon d'Or de Drogba,Trophées et distinctions du football.,DIFFICILE,200,25,Sport,Le gbaka,Le ballon d'Or de Drogba,Le billet de 10 000 FCFA,L'anacarde (noix de cajou),img/le-ballon-d-or-de-drogba.jpg,,,,,
Que représente cette image ?,IMAGE,Le maillot des Éléphants,Maillot orange de la sélection ivoirienne.,FACILE,100,25,Sport,Le billet de 10 000 FCFA,Le masque Dan,L'anacarde (noix de cajou),Le maillot des Éléphants,img/le-maillot-des-elephants.jpg,,,,,
Que représente cette image ?,IMAGE,Le gbaka,Minibus de transport en commun d'Abidjan.,MOYEN,150,25,Actualité,La cabosse de cacao,Le masque Gouro,Le masque Baoulé,Le gbaka,img/le-gbaka.jpg,,,,,
Que représente cette image ?,IMAGE,Le woro-woro,Taxi collectif communal d'Abidjan.,MOYEN,150,25,Actualité,La cabosse de cacao,Le café,Le woro-woro,Le billet de 10 000 FCFA,img/le-woro-woro.jpg,,,,,
Que représente cette image ?,IMAGE,La pirogue,Embarcation traditionnelle de la lagune.,FACILE,100,25,Culture,La cabosse de cacao,Le masque Dan,La pirogue,Le ballon d'Or de Drogba,img/la-pirogue.jpg,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,L'ASEC Mimosas,Club historique d'Abidjan.,MOYEN,150,25,Sport,Le Séwé Sport,Les Lions de la Teranga,L'ASEC Mimosas,Les Super Eagles,img/l-asec-mimosas.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Le Africa Sports,Grand rival de l'ASEC à Abidjan.,MOYEN,150,25,Sport,Le Africa Sports,Le Stade d'Abidjan,Les Super Eagles,Les Éléphants,img/le-africa-sports.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Les Éléphants,Surnom de la sélection nationale ivoirienne.,FACILE,100,25,Sport,Le Africa Sports,Les Éléphants,Les Lions indomptables,Les Super Eagles,img/les-elephants.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Le Stade d'Abidjan,Club abidjanais.,DIFFICILE,200,25,Sport,Le Stade d'Abidjan,Les Black Stars,Les Lions de la Teranga,L'ASEC Mimosas,img/le-stade-d-abidjan.png,,,,,
Quelle équipe / quel club est-ce ?,IMAGE,Le Séwé Sport,Club de San-Pédro.,DIFFICILE,200,25,Sport,Les Black Stars,Le Séwé Sport,L'ASEC Mimosas,Les Lions indomptables,img/le-sewe-sport.png,,,,,
Quel est ce monument / lieu ?,IMAGE,La Tour Eiffel,Monument français érigé en 1889.,FACILE,100,25,Monuments,Le Plateau,La Tour Eiffel,La Mosquée de Djenné,L'Hôtel Ivoire,img/la-tour-eiffel.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Paris,Monument français érigé en 1889.,MOYEN,150,25,Monuments,Inde,Assinie,Paris,Mali,img/la-tour-eiffel.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Les Pyramides de Gizeh,Tombeaux des pharaons.,FACILE,100,25,Monuments,Le Monument de la Renaissance africaine,Le Musée des Civilisations de Côte d'Ivoire,Les Pyramides de Gizeh,Le Palais présidentiel de Yamoussoukro,img/les-pyramides-de-gizeh.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Égypte,Tombeaux des pharaons.,MOYEN,150,25,Monuments,Abidjan,Sénégal,Égypte,Rome,img/les-pyramides-de-gizeh.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Colisée,Amphithéâtre antique romain.,FACILE,100,25,Monuments,Le Colisée,La Pyramide,La Fondation Félix Houphouët-Boigny,Le Stade Olympique Alassane Ouattara,img/le-colisee.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Rome,Amphithéâtre antique romain.,MOYEN,150,25,Monuments,Chine,Dakar,Abidjan,Rome,img/le-colisee.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Statue de la Liberté,Cadeau de la France aux États-Unis.,FACILE,100,25,Monuments,La Statue de la Liberté,La Fondation Félix Houphouët-Boigny,Le Barrage de Kossou,La Place de l'Indépendance,img/la-statue-de-la-liberte.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,New York,Cadeau de la France aux États-Unis.,MOYEN,150,25,Monuments,Grand-Bassam,Londres,Man,New York,img/la-statue-de-la-liberte.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Grande Muraille de Chine,Fortification longue de milliers de km.,FACILE,100,25,Monuments,La Grande Muraille de Chine,La Pyramide,Le Stade Félix Houphouët-Boigny,La Mosquée Hassan II,img/la-grande-muraille-de-chine.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Chine,Fortification longue de milliers de km.,MOYEN,150,25,Monuments,Abidjan,Abidjan,Chine,Yamoussoukro,img/la-grande-muraille-de-chine.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Taj Mahal,Mausolée de marbre blanc à Agra.,MOYEN,150,25,Monuments,Le Pont Henri Konan Bédié,La Mosquée de la Riviera Golf,Le Taj Mahal,Le Plateau,img/le-taj-mahal.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Inde,Mausolée de marbre blanc à Agra.,MOYEN,150,25,Monuments,Abidjan,Abidjan,Ebimpé,Inde,img/le-taj-mahal.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Mosquée Hassan II,Plus grande mosquée du Maroc.,MOYEN,150,25,Monuments,Assinie,L'Hôtel Ivoire,La Statue de la Liberté,La Mosquée Hassan II,img/la-mosquee-hassan-ii.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Casablanca,Plus grande mosquée du Maroc.,MOYEN,150,25,Monuments,Barcelone,Grand-Bassam,Casablanca,Chine,img/la-mosquee-hassan-ii.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Big Ben,Tour de l'horloge du Palais de Westminster.,FACILE,100,25,Monuments,La Mosquée Hassan II,Le Parc national du Banco,Big Ben,Le Christ Rédempteur,img/big-ben.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Londres,Tour de l'horloge du Palais de Westminster.,MOYEN,150,25,Monuments,Yamoussoukro,Londres,Ebimpé,Abidjan,img/big-ben.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Christ Rédempteur,Statue surplombant Rio.,FACILE,100,25,Monuments,Le Monument de la Renaissance africaine,La Gare de Treichville,Le Christ Rédempteur,La Basilique Notre-Dame de la Paix,img/le-christ-redempteur.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Rio de Janeiro,Statue surplombant Rio.,MOYEN,150,25,Monuments,Rio de Janeiro,Égypte,Londres,Man,img/le-christ-redempteur.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Sagrada Família,Basilique de Gaudí toujours en construction.,MOYEN,150,25,Monuments,La Sagrada Família,La Grande Muraille de Chine,Le Stade Félix Houphouët-Boigny,La Place de la République,img/la-sagrada-familia.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Barcelone,Basilique de Gaudí toujours en construction.,MOYEN,150,25,Monuments,Rome,Barcelone,Dakar,Chine,img/la-sagrada-familia.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Mosquée de Djenné,Plus grand édifice en terre crue du monde.,DIFFICILE,200,25,Monuments,La Basilique Notre-Dame de la Paix,La Mosquée de Djenné,La Mosquée de la Riviera Golf,La Statue de la Liberté,img/la-mosquee-de-djenne.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Mali,Plus grand édifice en terre crue du monde.,DIFFICILE,200,25,Monuments,Rome,Mali,Chine,Abidjan,img/la-mosquee-de-djenne.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Mémorial de Gorée,Île-mémoire de la traite négrière.,MOYEN,150,25,Monuments,La Gare de Treichville,Le Barrage de Kossou,Le Mémorial de Gorée,Le Plateau,img/le-memorial-de-goree.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Sénégal,Île-mémoire de la traite négrière.,MOYEN,150,25,Monuments,Casablanca,Abidjan,Yamoussoukro,Sénégal,img/le-memorial-de-goree.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Place de l'Indépendance,Place centrale de la capitale sénégalaise.,DIFFICILE,200,25,Monuments,Le Palais présidentiel de Yamoussoukro,La Place de l'Indépendance,Assinie,La Mosquée Hassan II,img/la-place-de-l-independance.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Dakar,Place centrale de la capitale sénégalaise.,DIFFICILE,200,25,Monuments,Abidjan,Abidjan,Dakar,Abidjan,img/la-place-de-l-independance.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Monument de la Renaissance africaine,Statue monumentale au Sénégal.,MOYEN,150,25,Monuments,Le Monument de la Renaissance africaine,Le Stade Félix Houphouët-Boigny,La Place de l'Indépendance,La Mosquée de Djenné,img/le-monument-de-la-renaissance-africaine.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Dakar,Statue monumentale au Sénégal.,MOYEN,150,25,Monuments,Assinie,Abidjan,Dakar,Égypte,img/le-monument-de-la-renaissance-africaine.jpg,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Sierra Leone,Drapeau du/de la Sierra Leone.,DIFFICILE,200,25,Géographie,Sierra Leone,Nigeria,Niger,Tunisie,img/drapeau-sierra-leone.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Freetown,Freetown est la capitale du/de la Sierra Leone.,DIFFICILE,200,25,Géographie,Freetown,Banjul,Pretoria,Bamako,img/drapeau-sierra-leone.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Cameroun,Drapeau du/de la Cameroun.,MOYEN,150,25,Géographie,Zambie,Congo,Zimbabwe,Cameroun,img/drapeau-cameroun.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Yaoundé,Yaoundé est la capitale du/de la Cameroun.,DIFFICILE,200,25,Géographie,Luanda,Yamoussoukro,Yaoundé,Lusaka,img/drapeau-cameroun.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Gabon,Drapeau du/de la Gabon.,MOYEN,150,25,Géographie,Gabon,Mali,Sierra Leone,Maroc,img/drapeau-gabon.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Libreville,Libreville est la capitale du/de la Gabon.,DIFFICILE,200,25,Géographie,N'Djamena,Conakry,Dodoma,Libreville,img/drapeau-gabon.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Congo,Drapeau du/de la Congo.,MOYEN,150,25,Géographie,Niger,Congo,Tanzanie,Gambie,img/drapeau-congo.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Brazzaville,Brazzaville est la capitale du/de la Congo.,DIFFICILE,200,25,Géographie,Luanda,Bissau,Ouagadougou,Brazzaville,img/drapeau-congo.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,RD Congo,Drapeau du/de la RD Congo.,MOYEN,150,25,Géographie,Kenya,Guinée-Bissau,Tanzanie,RD Congo,img/drapeau-rd-congo.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Kinshasa,Kinshasa est la capitale du/de la RD Congo.,DIFFICILE,200,25,Géographie,Kinshasa,Bamako,Antananarivo,Alger,img/drapeau-rd-congo.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Maroc,Drapeau du/de la Maroc.,MOYEN,150,25,Géographie,Guinée,Tunisie,Maroc,Algérie,img/drapeau-maroc.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Rabat,Rabat est la capitale du/de la Maroc.,DIFFICILE,200,25,Géographie,Rabat,Nouakchott,Abuja,Lomé,img/drapeau-maroc.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Algérie,Drapeau du/de la Algérie.,MOYEN,150,25,Géographie,Liberia,Afrique du Sud,Algérie,Égypte,img/drapeau-algerie.png,,,,,
Quelle est la capitale du pays de ce drapeau ?,IMAGE,Alger,Alger est la capitale du/de la Algérie.,DIFFICILE,200,25,Géographie,Abuja,Addis-Abeba,Nouakchott,Alger,img/drapeau-algerie.png,,,,,
À quel pays appartient ce drapeau ?,IMAGE,Tunisie,Drapeau du/de la Tunisie.,MOYEN,150,25,Géographie,Zambie,Tunisie,Gambie,Afrique du Sud,img/drapeau-tunisie.png,,,,,
